PROJECT : Irise (France)
HOUSEHOLD : 2000900
APPLIANCE : Site consumption ()

DATE(dd/mm/yy)	TIME(hh:mm)	STATE	ENERGY(Wh)
22/01/98	13:40	0	000294
22/01/98	13:50	0	000085
22/01/98	14:00	0	000058
22/01/98	14:10	0	000176
22/01/98	14:20	0	000067
22/01/98	14:30	0	000047
22/01/98	14:40	0	000190
22/01/98	14:50	0	000061
22/01/98	15:00	0	000043
22/01/98	15:10	0	000190
22/01/98	15:20	0	000055
22/01/98	15:30	0	000114
22/01/98	15:40	0	000183
22/01/98	15:50	0	000081
22/01/98	16:00	0	000046
22/01/98	16:10	0	000136
22/01/98	16:20	0	000089
22/01/98	16:30	0	000039
22/01/98	16:40	0	000192
22/01/98	16:50	0	000048
22/01/98	17:00	0	000037
22/01/98	17:10	0	000199
22/01/98	17:20	0	000069
22/01/98	17:30	0	000051
22/01/98	17:40	0	000157
22/01/98	17:50	0	000201
22/01/98	18:00	0	000387
22/01/98	18:10	0	000330
22/01/98	18:20	0	000265
22/01/98	18:30	0	000205
22/01/98	18:40	0	000281
22/01/98	18:50	0	000176
22/01/98	19:00	0	000186
22/01/98	19:10	0	000254
22/01/98	19:20	0	000154
22/01/98	19:30	0	000071
22/01/98	19:40	0	000178
22/01/98	19:50	0	000156
22/01/98	20:00	0	000162
22/01/98	20:10	0	000162
22/01/98	20:20	0	000164
22/01/98	20:30	0	000051
22/01/98	20:40	0	000159
22/01/98	20:50	0	000099
22/01/98	21:00	0	000078
22/01/98	21:10	0	000110
22/01/98	21:20	0	000117
22/01/98	21:30	0	000038
22/01/98	21:40	0	000115
22/01/98	21:50	0	000056
22/01/98	22:00	0	000031
22/01/98	22:10	0	000067
22/01/98	22:20	0	000018
22/01/98	22:30	0	000024
22/01/98	22:40	0	000075
22/01/98	22:50	0	000027
22/01/98	23:00	0	000056
22/01/98	23:10	0	000019
22/01/98	23:20	0	000028
22/01/98	23:30	0	000034
22/01/98	23:40	0	000065
22/01/98	23:50	0	000018
23/01/98	00:00	0	000028
23/01/98	00:10	0	000053
23/01/98	00:20	0	000028
23/01/98	00:30	0	000040
23/01/98	00:40	0	000059
23/01/98	00:50	0	000018
23/01/98	01:00	0	000018
23/01/98	01:10	0	000027
23/01/98	01:20	0	000081
23/01/98	01:30	0	000026
23/01/98	01:40	0	000018
23/01/98	01:50	0	000028
23/01/98	02:00	0	000053
23/01/98	02:10	0	000030
23/01/98	02:20	0	000034
23/01/98	02:30	0	000060
23/01/98	02:40	0	000022
23/01/98	02:50	0	000018
23/01/98	03:00	0	000021
23/01/98	03:10	0	000079
23/01/98	03:20	0	000027
23/01/98	03:30	0	000018
23/01/98	03:40	0	000057
23/01/98	03:50	0	000022
23/01/98	04:00	0	000037
23/01/98	04:10	0	000033
23/01/98	04:20	0	000018
23/01/98	04:30	0	000054
23/01/98	04:40	0	000029
23/01/98	04:50	0	000021
23/01/98	05:00	0	000037
23/01/98	05:10	0	000058
23/01/98	05:20	0	000028
23/01/98	05:30	0	000019
23/01/98	05:40	0	000052
23/01/98	05:50	0	000030
23/01/98	06:00	0	000033
23/01/98	06:10	0	000066
23/01/98	06:20	0	000018
23/01/98	06:30	0	000018
23/01/98	06:40	0	000028
23/01/98	06:50	0	000113
23/01/98	07:00	0	000062
23/01/98	07:10	0	000087
23/01/98	07:20	0	000049
23/01/98	07:30	0	000077
23/01/98	07:40	0	000081
23/01/98	07:50	0	000078
23/01/98	08:00	0	000048
23/01/98	08:10	0	000038
23/01/98	08:20	0	000034
23/01/98	08:30	0	000046
23/01/98	08:40	0	000051
23/01/98	08:50	0	000032
23/01/98	09:00	0	000020
23/01/98	09:10	0	000021
23/01/98	09:20	0	000031
23/01/98	09:30	0	000031
23/01/98	09:40	0	000267
23/01/98	09:50	0	000194
23/01/98	10:00	0	000022
23/01/98	10:10	0	000087
23/01/98	10:20	0	000026
23/01/98	10:30	0	000038
23/01/98	10:40	0	000027
23/01/98	10:50	0	000020
23/01/98	11:00	0	000022
23/01/98	11:10	0	000032
23/01/98	11:20	0	000034
23/01/98	11:30	0	000033
23/01/98	11:40	0	000020
23/01/98	11:50	0	000020
23/01/98	12:00	0	000022
23/01/98	12:10	0	000041
23/01/98	12:20	0	000044
23/01/98	12:30	0	000029
23/01/98	12:40	0	000027
23/01/98	12:50	0	000027
23/01/98	13:00	0	000037
23/01/98	13:10	0	000043
23/01/98	13:20	0	000036
23/01/98	13:30	0	000028
23/01/98	13:40	0	000040
23/01/98	13:50	0	000024
23/01/98	14:00	0	000029
23/01/98	14:10	0	000036
23/01/98	14:20	0	000020
23/01/98	14:30	0	000032
23/01/98	14:40	0	000019
23/01/98	14:50	0	000021
23/01/98	15:00	0	000037
23/01/98	15:10	0	000027
23/01/98	15:20	0	000031
23/01/98	15:30	0	000023
23/01/98	15:40	0	000030
23/01/98	15:50	0	000033
23/01/98	16:00	0	000033
23/01/98	16:10	0	000029
23/01/98	16:20	0	000022
23/01/98	16:30	0	000020
23/01/98	16:40	0	000027
23/01/98	16:50	0	000037
23/01/98	17:00	0	000045
23/01/98	17:10	0	000042
23/01/98	17:20	0	000039
23/01/98	17:30	0	000038
23/01/98	17:40	0	000069
23/01/98	17:50	0	000114
23/01/98	18:00	0	000095
23/01/98	18:10	0	000096
23/01/98	18:20	0	000096
23/01/98	18:30	0	000111
23/01/98	18:40	0	000400
23/01/98	18:50	0	000490
23/01/98	19:00	0	000442
23/01/98	19:10	0	000295
23/01/98	19:20	0	000206
23/01/98	19:30	0	000236
23/01/98	19:40	0	000119
23/01/98	19:50	0	000118
23/01/98	20:00	0	000109
23/01/98	20:10	0	000119
23/01/98	20:20	0	000122
23/01/98	20:30	0	000139
23/01/98	20:40	0	000109
23/01/98	20:50	0	000112
23/01/98	21:00	0	000129
23/01/98	21:10	0	000122
23/01/98	21:20	0	000075
23/01/98	21:30	0	000041
23/01/98	21:40	0	000027
23/01/98	21:50	0	000027
23/01/98	22:00	0	000027
23/01/98	22:10	0	000054
23/01/98	22:20	0	000037
23/01/98	22:30	0	000027
23/01/98	22:40	0	000034
23/01/98	22:50	0	000030
23/01/98	23:00	0	000037
23/01/98	23:10	0	000044
23/01/98	23:20	0	000038
23/01/98	23:30	0	000026
23/01/98	23:40	0	000027
23/01/98	23:50	0	000029
24/01/98	00:00	0	000054
24/01/98	00:10	0	000033
24/01/98	00:20	0	000027
24/01/98	00:30	0	000027
24/01/98	00:40	0	000038
24/01/98	00:50	0	000040
24/01/98	01:00	0	000043
24/01/98	01:10	0	000051
24/01/98	01:20	0	000035
24/01/98	01:30	0	000020
24/01/98	01:40	0	000024
24/01/98	01:50	0	000037
24/01/98	02:00	0	000035
24/01/98	02:10	0	000019
24/01/98	02:20	0	000020
24/01/98	02:30	0	000020
24/01/98	02:40	0	000038
24/01/98	02:50	0	000039
24/01/98	03:00	0	000020
24/01/98	03:10	0	000020
24/01/98	03:20	0	000020
24/01/98	03:30	0	000037
24/01/98	03:40	0	000037
24/01/98	03:50	0	000022
24/01/98	04:00	0	000020
24/01/98	04:10	0	000158
24/01/98	04:20	0	000020
24/01/98	04:30	0	000036
24/01/98	04:40	0	000031
24/01/98	04:50	0	000023
24/01/98	05:00	0	000027
24/01/98	05:10	0	000020
24/01/98	05:20	0	000028
24/01/98	05:30	0	000037
24/01/98	05:40	0	000033
24/01/98	05:50	0	000019
24/01/98	06:00	0	000020
24/01/98	06:10	0	000141
24/01/98	06:20	0	000040
24/01/98	06:30	0	000041
24/01/98	06:40	0	000020
24/01/98	06:50	0	000020
24/01/98	07:00	0	000020
24/01/98	07:10	0	000032
24/01/98	07:20	0	000041
24/01/98	07:30	0	000146
24/01/98	07:40	0	000020
24/01/98	07:50	0	000019
24/01/98	08:00	0	000028
24/01/98	08:10	0	000038
24/01/98	08:20	0	000030
24/01/98	08:30	0	000025
24/01/98	08:40	0	000233
24/01/98	08:50	0	000063
24/01/98	09:00	0	000027
24/01/98	09:10	0	000037
24/01/98	09:20	0	000021
24/01/98	09:30	0	000024
24/01/98	09:40	0	000026
24/01/98	09:50	0	000148
24/01/98	10:00	0	000040
24/01/98	10:10	0	000029
24/01/98	10:20	0	000036
24/01/98	10:30	0	000026
24/01/98	10:40	0	000025
24/01/98	10:50	0	000028
24/01/98	11:00	0	000046
24/01/98	11:10	0	000021
24/01/98	11:20	0	000020
24/01/98	11:30	0	000019
24/01/98	11:40	0	000026
24/01/98	11:50	0	000067
24/01/98	12:00	0	000316
24/01/98	12:10	0	000378
24/01/98	12:20	0	000239
24/01/98	12:30	0	000045
24/01/98	12:40	0	000042
24/01/98	12:50	0	000046
24/01/98	13:00	0	000047
24/01/98	13:10	0	000036
24/01/98	13:20	0	000036
24/01/98	13:30	0	000040
24/01/98	13:40	0	000063
24/01/98	13:50	0	000160
24/01/98	14:00	0	000119
24/01/98	14:10	0	000048
24/01/98	14:20	0	000057
24/01/98	14:30	0	000049
24/01/98	14:40	0	000146
24/01/98	14:50	0	000067
24/01/98	15:00	0	000023
24/01/98	15:10	0	000031
24/01/98	15:20	0	000024
24/01/98	15:30	0	000166
24/01/98	15:40	0	000024
24/01/98	15:50	0	000030
24/01/98	16:00	0	000019
24/01/98	16:10	0	000020
24/01/98	16:20	0	000282
24/01/98	16:30	0	000385
24/01/98	16:40	0	000177
24/01/98	16:50	0	000301
24/01/98	17:00	0	000288
24/01/98	17:10	0	000255
24/01/98	17:20	0	000420
24/01/98	17:30	0	000446
24/01/98	17:40	0	000298
24/01/98	17:50	0	000351
24/01/98	18:00	0	000271
24/01/98	18:10	0	000223
24/01/98	18:20	0	000349
24/01/98	18:30	0	000236
24/01/98	18:40	0	000227
24/01/98	18:50	0	000348
24/01/98	19:00	0	000216
24/01/98	19:10	0	000274
24/01/98	19:20	0	000327
24/01/98	19:30	0	000193
24/01/98	19:40	0	000290
24/01/98	19:50	0	000305
24/01/98	20:00	0	000205
24/01/98	20:10	0	000319
24/01/98	20:20	0	000268
24/01/98	20:30	0	000197
24/01/98	20:40	0	000341
24/01/98	20:50	0	000252
24/01/98	21:00	0	000226
24/01/98	21:10	0	000353
24/01/98	21:20	0	000212
24/01/98	21:30	0	000245
24/01/98	21:40	0	000340
24/01/98	21:50	0	000206
24/01/98	22:00	0	000292
24/01/98	22:10	0	000292
24/01/98	22:20	0	000185
24/01/98	22:30	0	000313
24/01/98	22:40	0	000278
24/01/98	22:50	0	000214
24/01/98	23:00	0	000345
24/01/98	23:10	0	000212
24/01/98	23:20	0	000239
24/01/98	23:30	0	000352
24/01/98	23:40	0	000203
24/01/98	23:50	0	000274
25/01/98	00:00	0	000302
25/01/98	00:10	0	000187
25/01/98	00:20	0	000306
25/01/98	00:30	0	000301
25/01/98	00:40	0	000372
25/01/98	00:50	0	000240
25/01/98	01:00	0	000216
25/01/98	01:10	0	000219
25/01/98	01:20	0	000218
25/01/98	01:30	0	000228
25/01/98	01:40	0	000216
25/01/98	01:50	0	000216
25/01/98	02:00	0	000222
25/01/98	02:10	0	000213
25/01/98	02:20	0	000229
25/01/98	02:30	0	000224
25/01/98	02:40	0	000217
25/01/98	02:50	0	000225
25/01/98	03:00	0	000216
25/01/98	03:10	0	000223
25/01/98	03:20	0	000234
25/01/98	03:30	0	000222
25/01/98	03:40	0	000227
25/01/98	03:50	0	000219
25/01/98	04:00	0	000218
25/01/98	04:10	0	000232
25/01/98	04:20	0	000230
25/01/98	04:30	0	000230
25/01/98	04:40	0	000220
25/01/98	04:50	0	000219
25/01/98	05:00	0	000224
25/01/98	05:10	0	000237
25/01/98	05:20	0	000238
25/01/98	05:30	0	000225
25/01/98	05:40	0	000221
25/01/98	05:50	0	000222
25/01/98	06:00	0	000233
25/01/98	06:10	0	000245
25/01/98	06:20	0	000224
25/01/98	06:30	0	000221
25/01/98	06:40	0	000220
25/01/98	06:50	0	000221
25/01/98	07:00	0	000236
25/01/98	07:10	0	000233
25/01/98	07:20	0	000215
25/01/98	07:30	0	000214
25/01/98	07:40	0	000213
25/01/98	07:50	0	000222
25/01/98	08:00	0	000240
25/01/98	08:10	0	000220
25/01/98	08:20	0	000217
25/01/98	08:30	0	000217
25/01/98	08:40	0	000216
25/01/98	08:50	0	000234
25/01/98	09:00	0	000237
25/01/98	09:10	0	000216
25/01/98	09:20	0	000216
25/01/98	09:30	0	000215
25/01/98	09:40	0	000220
25/01/98	09:50	0	000230
25/01/98	10:00	0	000242
25/01/98	10:10	0	000360
25/01/98	10:20	0	000264
25/01/98	10:30	0	000239
25/01/98	10:40	0	000252
25/01/98	10:50	0	000283
25/01/98	11:00	0	000277
25/01/98	11:10	0	000350
25/01/98	11:20	0	000315
25/01/98	11:30	0	000261
25/01/98	11:40	0	000606
25/01/98	11:50	0	000653
25/01/98	12:00	0	000637
25/01/98	12:10	0	000646
25/01/98	12:20	0	000497
25/01/98	12:30	0	000663
25/01/98	12:40	0	000672
25/01/98	12:50	0	000615
25/01/98	13:00	0	000555
25/01/98	13:10	0	000553
25/01/98	13:20	0	000561
25/01/98	13:30	0	000571
25/01/98	13:40	0	000556
25/01/98	13:50	0	000546
25/01/98	14:00	0	000543
25/01/98	14:10	0	000549
25/01/98	14:20	0	000565
25/01/98	14:30	0	000565
25/01/98	14:40	0	000552
25/01/98	14:50	0	000554
25/01/98	15:00	0	000564
25/01/98	15:10	0	000493
25/01/98	15:20	0	000423
25/01/98	15:30	0	000317
25/01/98	15:40	0	000274
25/01/98	15:50	0	000312
25/01/98	16:00	0	000533
25/01/98	16:10	0	000423
25/01/98	16:20	0	000421
25/01/98	16:30	0	000378
25/01/98	16:40	0	000365
25/01/98	16:50	0	000372
25/01/98	17:00	0	000392
25/01/98	17:10	0	000358
25/01/98	17:20	0	000334
25/01/98	17:30	0	000364
25/01/98	17:40	0	000330
25/01/98	17:50	0	000289
25/01/98	18:00	0	000345
25/01/98	18:10	0	000342
25/01/98	18:20	0	000333
25/01/98	18:30	0	000354
25/01/98	18:40	0	000325
25/01/98	18:50	0	000349
25/01/98	19:00	0	000361
25/01/98	19:10	0	000366
25/01/98	19:20	0	000360
25/01/98	19:30	0	000332
25/01/98	19:40	0	000379
25/01/98	19:50	0	000405
25/01/98	20:00	0	000328
25/01/98	20:10	0	000349
25/01/98	20:20	0	000309
25/01/98	20:30	0	000334
25/01/98	20:40	0	000300
25/01/98	20:50	0	000309
25/01/98	21:00	0	000232
25/01/98	21:10	0	000179
25/01/98	21:20	0	000172
25/01/98	21:30	0	000141
25/01/98	21:40	0	000143
25/01/98	21:50	0	000139
25/01/98	22:00	0	000121
25/01/98	22:10	0	000120
25/01/98	22:20	0	000106
25/01/98	22:30	0	000125
25/01/98	22:40	0	000116
25/01/98	22:50	0	000103
25/01/98	23:00	0	000102
25/01/98	23:10	0	000112
25/01/98	23:20	0	000106
25/01/98	23:30	0	000120
25/01/98	23:40	0	000109
25/01/98	23:50	0	000107
26/01/98	00:00	0	000111
26/01/98	00:10	0	000104
26/01/98	00:20	0	000116
26/01/98	00:30	0	000118
26/01/98	00:40	0	000115
26/01/98	00:50	0	000103
26/01/98	01:00	0	000102
26/01/98	01:10	0	000102
26/01/98	01:20	0	000120
26/01/98	01:30	0	000119
26/01/98	01:40	0	000103
26/01/98	01:50	0	000102
26/01/98	02:00	0	000102
26/01/98	02:10	0	000113
26/01/98	02:20	0	000127
26/01/98	02:30	0	000102
26/01/98	02:40	0	000103
26/01/98	02:50	0	000103
26/01/98	03:00	0	000107
26/01/98	03:10	0	000128
26/01/98	03:20	0	000114
26/01/98	03:30	0	000104
26/01/98	03:40	0	000105
26/01/98	03:50	0	000105
26/01/98	04:00	0	000119
26/01/98	04:10	0	000122
26/01/98	04:20	0	000108
26/01/98	04:30	0	000105
26/01/98	04:40	0	000104
26/01/98	04:50	0	000115
26/01/98	05:00	0	000115
26/01/98	05:10	0	000118
26/01/98	05:20	0	000107
26/01/98	05:30	0	000106
26/01/98	05:40	0	000110
26/01/98	05:50	0	000113
26/01/98	06:00	0	000121
26/01/98	06:10	0	000111
26/01/98	06:20	0	000104
26/01/98	06:30	0	000107
26/01/98	06:40	0	000131
26/01/98	06:50	0	000162
26/01/98	07:00	0	000156
26/01/98	07:10	0	000117
26/01/98	07:20	0	000111
26/01/98	07:30	0	000109
26/01/98	07:40	0	000122
26/01/98	07:50	0	000138
26/01/98	08:00	0	000143
26/01/98	08:10	0	000130
26/01/98	08:20	0	000128
26/01/98	08:30	0	000111
26/01/98	08:40	0	000130
26/01/98	08:50	0	000127
26/01/98	09:00	0	000116
26/01/98	09:10	0	000112
26/01/98	09:20	0	000112
26/01/98	09:30	0	000123
26/01/98	09:40	0	000128
26/01/98	09:50	0	000125
26/01/98	10:00	0	000112
26/01/98	10:10	0	000112
26/01/98	10:20	0	000122
26/01/98	10:30	0	000122
26/01/98	10:40	0	000129
26/01/98	10:50	0	000116
26/01/98	11:00	0	000114
26/01/98	11:10	0	000119
26/01/98	11:20	0	000113
26/01/98	11:30	0	000126
26/01/98	11:40	0	000126
26/01/98	11:50	0	000124
26/01/98	12:00	0	000119
26/01/98	12:10	0	000122
26/01/98	12:20	0	000124
26/01/98	12:30	0	000142
26/01/98	12:40	0	000122
26/01/98	12:50	0	000118
26/01/98	13:00	0	000120
26/01/98	13:10	0	000128
26/01/98	13:20	0	000129
26/01/98	13:30	0	000122
26/01/98	13:40	0	000112
26/01/98	13:50	0	000116
26/01/98	14:00	0	000108
26/01/98	14:10	0	000116
26/01/98	14:20	0	000127
26/01/98	14:30	0	000119
26/01/98	14:40	0	000109
26/01/98	14:50	0	000109
26/01/98	15:00	0	000109
26/01/98	15:10	0	000138
26/01/98	15:20	0	000120
26/01/98	15:30	0	000108
26/01/98	15:40	0	000110
26/01/98	15:50	0	000118
26/01/98	16:00	0	000112
26/01/98	16:10	0	000118
26/01/98	16:20	0	000104
26/01/98	16:30	0	000114
26/01/98	16:40	0	000103
26/01/98	16:50	0	000103
26/01/98	17:00	0	000125
26/01/98	17:10	0	000125
26/01/98	17:20	0	000115
26/01/98	17:30	0	000110
26/01/98	17:40	0	000110
26/01/98	17:50	0	000119
26/01/98	18:00	0	000189
26/01/98	18:10	0	000191
26/01/98	18:20	0	000177
26/01/98	18:30	0	000177
26/01/98	18:40	0	000204
26/01/98	18:50	0	000211
26/01/98	19:00	0	000206
26/01/98	19:10	0	000201
26/01/98	19:20	0	000202
26/01/98	19:30	0	000193
26/01/98	19:40	0	000207
26/01/98	19:50	0	000219
26/01/98	20:00	0	000200
26/01/98	20:10	0	000203
26/01/98	20:20	0	000057
26/01/98	20:30	0	000070
26/01/98	20:40	0	000064
26/01/98	20:50	0	000045
26/01/98	21:00	0	000040
26/01/98	21:10	0	000050
26/01/98	21:20	0	000040
26/01/98	21:30	0	000053
26/01/98	21:40	0	000053
26/01/98	21:50	0	000050
26/01/98	22:00	0	000039
26/01/98	22:10	0	000040
26/01/98	22:20	0	000044
26/01/98	22:30	0	000068
26/01/98	22:40	0	000039
26/01/98	22:50	0	000027
26/01/98	23:00	0	000027
26/01/98	23:10	0	000035
26/01/98	23:20	0	000044
26/01/98	23:30	0	000052
26/01/98	23:40	0	000021
26/01/98	23:50	0	000020
27/01/98	00:00	0	000031
27/01/98	00:10	0	000023
27/01/98	00:20	0	000037
27/01/98	00:30	1	000026
27/01/98	00:40	1	000027
27/01/98	00:50	1	000020
27/01/98	01:00	1	000020
27/01/98	01:10	0	000032
27/01/98	01:20	0	000033
27/01/98	01:30	0	000030
27/01/98	01:40	0	000020
27/01/98	01:50	0	000020
27/01/98	02:00	0	000020
27/01/98	02:10	0	000040
27/01/98	02:20	0	000035
27/01/98	02:30	0	000020
27/01/98	02:40	0	000020
27/01/98	02:50	0	000020
27/01/98	03:00	0	000037
27/01/98	03:10	0	000040
27/01/98	03:20	0	000020
27/01/98	03:30	0	000020
27/01/98	03:40	0	000020
27/01/98	03:50	0	000025
27/01/98	04:00	0	000047
27/01/98	04:10	0	000026
27/01/98	04:20	0	000021
27/01/98	04:30	0	000020
27/01/98	04:40	0	000020
27/01/98	04:50	0	000040
27/01/98	05:00	0	000037
27/01/98	05:10	0	000021
27/01/98	05:20	0	000020
27/01/98	05:30	0	000020
27/01/98	05:40	0	000027
27/01/98	05:50	0	000039
27/01/98	06:00	0	000032
27/01/98	06:10	0	000020
27/01/98	06:20	0	000020
27/01/98	06:30	0	000020
27/01/98	06:40	0	000043
27/01/98	06:50	0	000074
27/01/98	07:00	0	000050
27/01/98	07:10	0	000044
27/01/98	07:20	0	000034
27/01/98	07:30	0	000030
27/01/98	07:40	0	000042
27/01/98	07:50	0	000045
27/01/98	08:00	0	000038
27/01/98	08:10	0	000032
27/01/98	08:20	0	000021
27/01/98	08:30	0	000028
27/01/98	08:40	0	000028
27/01/98	08:50	0	000028
27/01/98	09:00	0	000023
27/01/98	09:10	0	000017
27/01/98	09:20	0	000015
27/01/98	09:30	0	000030
27/01/98	09:40	0	000033
27/01/98	09:50	0	000024
27/01/98	10:00	0	000319
27/01/98	10:10	0	000305
27/01/98	10:20	0	000329
27/01/98	10:30	0	000042
27/01/98	10:40	0	000040
27/01/98	10:50	0	000054
27/01/98	11:00	0	000019
27/01/98	11:10	0	000024
27/01/98	11:20	0	000021
27/01/98	11:30	0	000032
27/01/98	11:40	0	000020
27/01/98	11:50	0	000026
27/01/98	12:00	0	000019
27/01/98	12:10	0	000022
27/01/98	12:20	0	000039
27/01/98	12:30	0	000043
27/01/98	12:40	0	000022
27/01/98	12:50	0	000021
27/01/98	13:00	0	000028
27/01/98	13:10	0	000035
27/01/98	13:20	0	000038
27/01/98	13:30	0	000028
27/01/98	13:40	0	000044
27/01/98	13:50	0	000025
27/01/98	14:00	0	000017
27/01/98	14:10	0	000033
27/01/98	14:20	0	000034
27/01/98	14:30	0	000014
27/01/98	14:40	0	000015
27/01/98	14:50	0	000015
27/01/98	15:00	0	000036
27/01/98	15:10	0	000030
27/01/98	15:20	0	000016
27/01/98	15:30	0	000014
27/01/98	15:40	0	000025
27/01/98	15:50	0	000018
27/01/98	16:00	0	000032
27/01/98	16:10	0	000023
27/01/98	16:20	0	000026
27/01/98	16:30	0	000025
27/01/98	16:40	0	000025
27/01/98	16:50	0	000049
27/01/98	17:00	0	000054
27/01/98	17:10	0	000032
27/01/98	17:20	0	000047
27/01/98	17:30	0	000051
27/01/98	17:40	0	000056
27/01/98	17:50	0	000068
27/01/98	18:00	0	000077
27/01/98	18:10	0	000107
27/01/98	18:20	0	000140
27/01/98	18:30	0	000101
27/01/98	18:40	0	000100
27/01/98	18:50	0	000218
27/01/98	19:00	0	000416
27/01/98	19:10	0	000282
27/01/98	19:20	0	000272
27/01/98	19:30	0	000191
27/01/98	19:40	0	000106
27/01/98	19:50	0	000110
27/01/98	20:00	0	000112
27/01/98	20:10	0	000084
27/01/98	20:20	0	000066
27/01/98	20:30	0	000053
27/01/98	20:40	0	000042
27/01/98	20:50	0	000040
27/01/98	21:00	0	000039
27/01/98	21:10	0	000035
27/01/98	21:20	0	000049
27/01/98	21:30	0	000057
