PROJECT : Irise (France)
HOUSEHOLD : 2000900
APPLIANCE : Site consumption ()

DATE(dd/mm/yy)	TIME(hh:mm)	STATE	ENERGY(Wh)
28/01/98	12:30	0	000051
28/01/98	12:40	0	000015
28/01/98	12:50	0	000059
28/01/98	13:00	0	000077
28/01/98	13:10	0	000019
28/01/98	13:20	0	000053
28/01/98	13:30	0	000015
28/01/98	13:40	0	000065
28/01/98	13:50	0	000033
28/01/98	14:00	0	000059
28/01/98	14:10	0	000016
28/01/98	14:20	0	000061
28/01/98	14:30	0	000015
28/01/98	14:40	0	000062
28/01/98	14:50	0	000032
28/01/98	15:00	0	000022
28/01/98	15:10	0	000056
28/01/98	15:20	0	000015
28/01/98	15:30	0	000051
28/01/98	15:40	0	000034
28/01/98	15:50	0	000036
28/01/98	16:00	0	000050
28/01/98	16:10	0	000016
28/01/98	16:20	0	000050
28/01/98	16:30	0	000024
28/01/98	16:40	0	000043
28/01/98	16:50	0	000054
28/01/98	17:00	0	000015
28/01/98	17:10	0	000017
28/01/98	17:20	0	000054
28/01/98	17:30	0	000043
28/01/98	17:40	0	000026
28/01/98	17:50	0	000051
28/01/98	18:00	0	000015
28/01/98	18:10	0	000016
28/01/98	18:20	0	000074
28/01/98	18:30	0	000033
28/01/98	18:40	0	000019
28/01/98	18:50	0	000015
28/01/98	19:00	0	000051
28/01/98	19:10	0	000027
28/01/98	19:20	0	000029
28/01/98	19:30	0	000092
28/01/98	19:40	0	000097
28/01/98	19:50	0	000123
28/01/98	20:00	0	000114
28/01/98	20:10	0	000124
28/01/98	20:20	0	000175
28/01/98	20:30	0	000149
28/01/98	20:40	0	000108
28/01/98	20:50	0	000129
28/01/98	21:00	0	000095
28/01/98	21:10	0	000117
28/01/98	21:20	0	000116
28/01/98	21:30	0	000130
28/01/98	21:40	0	000097
28/01/98	21:50	0	000135
28/01/98	22:00	0	000057
28/01/98	22:10	0	000092
28/01/98	22:20	0	000097
28/01/98	22:30	0	000044
28/01/98	22:40	0	000042
28/01/98	22:50	0	000084
28/01/98	23:00	0	000053
28/01/98	23:10	0	000066
28/01/98	23:20	0	000015
28/01/98	23:30	0	000068
28/01/98	23:40	0	000015
28/01/98	23:50	0	000052
29/01/98	00:00	0	000033
29/01/98	00:10	0	000053
29/01/98	00:20	0	000030
29/01/98	00:30	0	000015
29/01/98	00:40	0	000051
29/01/98	00:50	0	000026
29/01/98	01:00	0	000076
29/01/98	01:10	0	000016
29/01/98	01:20	0	000015
29/01/98	01:30	0	000051
29/01/98	01:40	0	000024
29/01/98	01:50	0	000034
29/01/98	02:00	0	000062
29/01/98	02:10	0	000015
29/01/98	02:20	0	000015
29/01/98	02:30	0	000062
29/01/98	02:40	0	000022
29/01/98	02:50	0	000067
29/01/98	03:00	0	000018
29/01/98	03:10	0	000016
29/01/98	03:20	0	000061
29/01/98	03:30	0	000015
29/01/98	03:40	0	000029
29/01/98	03:50	0	000069
29/01/98	04:00	0	000015
29/01/98	04:10	0	000029
29/01/98	04:20	0	000048
29/01/98	04:30	0	000016
29/01/98	04:40	0	000068
29/01/98	04:50	0	000022
29/01/98	05:00	0	000027
29/01/98	05:10	0	000050
29/01/98	05:20	0	000015
29/01/98	05:30	0	000057
29/01/98	05:40	0	000032
29/01/98	05:50	0	000027
29/01/98	06:00	0	000052
29/01/98	06:10	0	000015
29/01/98	06:20	0	000050
29/01/98	06:30	0	000027
